Actors Rakul Preet Singh and Jackky Bhagnani will get married on Feb 21 in an intimate ceremony in Goa. They recently kicked off their wedding festivities with a dhol night at Bhagnani's residence. The two initially planned to have their wedding in the Middle East but changed their plans after PM Modi's call to choose India as the venue for big life events.,"['Rakul Preet Singh', 'Jackky Bhagnani', 'Goa', ""Bhagnani's Residence""]","['Person', 'Person', 'Location', 'Location']","['Actress', 'Actor', 'State', 'House']","[['Getting Married on Feb 21', 'Intimate Ceremony in Goa'], ['Getting Married on Feb 21', 'Intimate Ceremony in Goa'], [], []]","['Rakul Preet Singh', 'Rakul Preet Singh', 'Jackky Bhagnani', 'Rakul Preet Singh', 'Jackky Bhagnani']","['Jackky Bhagnani', 'Goa', 'Goa', ""Bhagnani's Residence"", ""Bhagnani's Residence""]","['Future Spouse', 'Marriage Location', 'Marriage Location', 'Wedding Festivities', 'Wedding Festivities']",,,,,,,,,,,,,,
"TV actress Kavita Chaudhary died after suffering a heart attack at the age of 67. She is known for her role as an IPS officer in Doordarshan's 'Udaan'. Chaudhary gained popularity through various TV shows and was the sister of Kanchan Bhattacharya, the 2nd woman IPS officer in India. She had cancer a few years ago but did not want people to know about it.","['Kavita Chaudhary', ""Doordarshan's 'Udaan'"", 'Kanchan Bhattacharya']","['Person', 'Entertainment', 'Person']","['TV Actress', 'TV Show', 'Police Officer']","[['IPS Officer in Udaan', 'had cancer', 'died due to Heart Attack', 'age 67'], [], ['2nd Woman IPS Officer in India', 'sister of Kavita Chaudhary']]","['Kavita Chaudhary', 'Kavita Chaudhary']","[""Doordarshan's 'Udaan'"", 'Kanchan Bhattacharya']","['Played Role In', 'Sister']",,,,,,,,,,,,,,
"Meryl Streep is confirmed to return for the fourth season of 'Only Murders in the Building' as Broadway star Loretta Durkin. Molly Shannon will also join the cast, while Jesse Williams's return is uncertain. Jane Lynch's character, Sazz Pataki, may appear in flashbacks. The upcoming season will focus on the group searching for answers about Sazz's murder.","['Meryl Streep', 'Molly Shannon', 'Jesse Williams', 'Jane Lynch']","['Person', 'Person', 'Person', 'Person']","['Actress', 'Actress', 'Actor', 'Actress']","[['Broadway star Loretta Durkin'], [], ['return is uncertain'], ['character, Sazz Pataki, may appear in flashbacks']]","['Meryl Streep', 'Molly Shannon', 'Jesse Williams', 'Jane Lynch', 'Only Murders in the Building']","['Only Murders in the Building', 'Only Murders in the Building', 'Only Murders in the Building', 'Only Murders in the Building', 'Sazz Pataki']","['Returns for Season 4', 'Joins Cast', 'Return is uncertain', 'May appear in flashbacks', 'Focuses on search for answers about murder']",,,,,,,,,,,,,,
--,"['Robert Downey Jr.', 'Iron Man', 'Marvel Cinematic Universe']","['Person', 'Entertainment', 'Entertainment']","['Actor', 'Movie Franchise', 'Movie Series']","[[], [], []]","['Robert Downey Jr.', 'Iron Man']","['Iron Man', 'Marvel Cinematic Universe']","['Played Character', 'Part Of']",,,,,,,,,,,,,,
"Actor-singer Aditya Narayan has been in the spotlight for negative reasons as he was seen hitting a fan's hand during a concert and throwing his phone. After the incident, the fan claimed that he was hit for no reason. However, a video on social media shows the fan happily receiving a new phone from his college, where the concert took place.","['Aditya Narayan', 'Fan', 'Concert']","['Person', 'Person', 'Event']","['Actor-Singer', 'Audience Member', 'Music Concert']","[[""hit fan's hand"", 'threw phone'], ['received new phone'], []]","['Aditya Narayan', 'Aditya Narayan', 'College']","['Fan', 'Phone', 'Fan']","['Hit', 'Threw', 'Gave New Phone']",,,,,,,,,,,,,,
"Huma Qureshi criticized trolling culture in reaction to Deepika Padukone revealing she dated other men while with Ranveer Singh. Huma responded with, ""Ab kya bol sakte hai, kuch nahi bol sakte hain (What can we say now, we cannot saying anything). Ridiculous. Be normal about it (dating people) Like what is the problem?,"" the actress said in an interview.","['Huma Qureshi', 'Deepika Padukone', 'Ranveer Singh']","['Person', 'Person', 'Person']","['Actress', 'Actress', 'Actor']","[['criticized trolling culture'], ['dated other men'], []]","['Huma Qureshi', 'Deepika Padukone', 'Deepika Padukone']","['trolling culture', 'Huma Qureshi', 'Ranveer Singh']","['criticized', 'reaction to', 'dated']",,,,,,,,,,,,,,
"Amitabh Bachchan celebrates 55 years in Indian cinema with an AI-generated image. Celebrities have showered love on the post, with daughter Shweta Bachchan praising it. Bachchan declares that he self-made the AI portraits. The iconic actor has given Bollywood numerous hits & has been honored with multiple Padma awards for his contributions to Indian cinema.","['Amitabh Bachchan', 'Shweta Bachchan', 'AI-generated image']","['Person', 'Person', 'Artwork']","['Actor', 'Daughter', 'Digital Art']","[['55 years in Indian cinema', 'numerous hits', 'multiple Padma awards'], ['praised AI generated image'], []]","['Amitabh Bachchan', 'Amitabh Bachchan']","['AI-generated image', 'Shweta Bachchan']","['Created by', 'Father']",,,,,,,,,,,,,,
"Actress Anjana Bhowmick passed away at 79 after being critically ill. She made her debut with 'Anustup Chhanda' in 1964 and starred alongside acting legend Uttam Kumar in several films. Bhowmick shared screen space with Kumar in 'Chowringhee', 'Kokhono Megh', Nayika Sangbad, 'Roudro Chhaya', 'Raj Drohi.' Her legacy lives on through her timeless performances.","['Anjana Bhowmick', 'Uttam Kumar', 'Anustup Chhanda', 'Chowringhee', 'Kokhono Megh', 'Nayika Sangbad', 'Roudro Chhaya', 'Raj Drohi']","['Person', 'Person', 'Entertainment', 'Entertainment', 'Entertainment', 'Entertainment', 'Entertainment', 'Entertainment']","['Actress', 'Actor', 'Film', 'Film', 'Film', 'Film', 'Film', 'Film']","[[""debut with 'Anustup Chhanda'"", 'passed away at 79', 'critically ill', 'shared screen space with Uttam Kumar in several films'], [], ['debut film of Anjana Bhowmick'], [], [], [], [], []]","['Anjana Bhowmick', 'Anjana Bhowmick', 'Anjana Bhowmick', 'Anjana Bhowmick', 'Anjana Bhowmick', 'Anjana Bhowmick', 'Anjana Bhowmick']","['Anustup Chhanda', 'Uttam Kumar', 'Chowringhee', 'Kokhono Megh', 'Nayika Sangbad', 'Roudro Chhaya', 'Raj Drohi']","['Debut Film', 'co-actor', 'Starred In', 'Starred In', 'Starred In', 'Starred In', 'Starred In']",,,,,,,,,,,,,,
"Dangal' actor Suhani Bhatnagar, known for her role as Babita Phogat, passed away at the age of 19 due to fluid accumulation in her body. According to a report, she had taken medication for a leg injury that caused this side effect. was admitted to Delhi's AIIMS hospital for quite some time for treatment. Bhatnagar will be cremated on Saturday in Faridabad.",['Suhani Bhatnagar'],['Person'],['Actress'],"[['died at age 19', 'role as Babita Phogat', ""admitted to Delhi's AIIMS hospital"", 'to be cremated on Saturday in Faridabad']]","['Suhani Bhatnagar', 'Suhani Bhatnagar']","[""Delhi's AIIMS hospital"", 'Faridabad']","['Admitted', 'To be cremated']",,,,,,,,,,,,,,
"Rakul Preet Singh and Jackky Bhagnani are set to get married on February 21, 2024, in an intimate and eco-friendly beach-side ceremony in Goa. They recently sought blessings at the Siddhivinayak temple ahead of their wedding. Singh stunned in a green sharara worth ₹1.28 lakhs for her first wedding festivity. The couple has opted for a unique wedding.","['Rakul Preet Singh', 'Jackky Bhagnani', 'February 21, 2024', 'Goa', 'Siddhivinayak temple', 'Unique Wedding']","['Person', 'Person', 'Date', 'Location', 'Location', 'Event']","['Actress', 'Actor', 'Event', 'State', 'Religious Place', 'Wedding']","[['Green Sharara Worth 1.28 Lakhs'], [], [], [], [], []]","['Rakul Preet Singh', 'Rakul Preet Singh', 'Rakul Preet Singh', 'Rakul Preet Singh', 'Rakul Preet Singh']","['Jackky Bhagnani', 'Siddhivinayak temple', 'Goa', 'February 21, 2024', 'Unique Wedding']","['Getting Married', 'Seeking Blessings', 'Marriage Location', 'Marriage Date', 'Having Unique Wedding']",,,,,,,,,,,,,,
